date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2002,SWE,SEK,Sweden,26,10.4,2.5,0.06383,0.05206,-0.1336,0.24046,0.97143,24510.03669,2.209098472,0.1775,0.01448,-0.1527,0.39043,0.56543
4/1/2002,THA,THB,Thailand,55,43.3,1.270207852,-0.45949,-0.46547,-0.5598,-0.36974,0.00165,3440.992884,1.787725047,-0.26072,-0.36307,-0.46803,-0.12703,-0.01716
4/1/2002,TUR,TRY,Turkey,4.00E+06,1324500,3.02000755,0.28511,0.27089,0.04661,0.49848,1.38149,0.001556521,1.718906437,0.82807,0.57497,0.31543,1.15864,1.43032
4/1/2002,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.14404,-0.15352,-0.3029,-0.00193,0.58621,15565.3477,2.030207856,0.0309,-0.11183,-0.2582,0.21732,0.37052
4/1/2002,USA,USD,United States,2.35,1,2.35,0,-0.01107,-0.18558,0.16603,0.85314,36312.782,2.445149204,0,-0.13845,-0.28043,0.18083,0.32945
4/1/2002,VEN,VEF,Venezuela,2500,857,2.917152859,0.24134,0.2276,0.01097,0.44744,1.30038,,,,,,,
4/1/2002,ZAF,ZAR,South Africa,9.7,10.9,0.889908257,-0.62132,-0.62551,-0.69159,-0.55844,-0.29824,5682.442696,1.832553251,-0.49473,-0.56468,-0.63642,-0.40336,-0.32827
4/1/2003,ARG,ARS,Argentina,4.1,2.88,1.423611111,-0.4213,-0.52244,-0.54723,-0.34796,0.19066,4851.2136,1.879369496,-0.15354,-0.40647,-0.42305,-0.02604,0.1445
4/1/2003,AUS,AUD,Australia,3,1.61,1.863354037,-0.24254,-0.37492,-0.40737,-0.14656,0.55844,30894.89892,2.581575168,-0.19344,-0.43444,-0.45024,-0.07195,0.09056
4/1/2003,BRA,BRL,Brazil,4.55,3.07,1.482084691,-0.39753,-0.50282,-0.52863,-0.32118,0.23956,4018.987424,1.856930508,-0.10812,-0.37462,-0.39209,0.02622,0.20591
4/1/2003,CAN,CAD,Canada,3.2,1.45,2.206896552,-0.10289,-0.25968,-0.29811,0.01079,0.84577,28409.13011,2.514552359,-0.01927,-0.31232,-0.33153,0.12845,0.32605
4/1/2003,CHE,CHF,Switzerland,6.3,1.37,4.598540146,0.86933,0.54262,0.46255,1.1062,2.84605,26253.97436,2.45644374,1.0919,0.46683,0.42585,1.407,1.82846
4/1/2003,CHL,CLP,Chile,1400,716,1.955307263,-0.20516,-0.34408,-0.37812,-0.10444,0.63535,5141.104573,1.887185713,0.15778,-0.18817,-0.21085,0.33218,0.56544
4/1/2003,CHN,CNY,China,9.9,8.28,1.195652174,-0.51396,-0.59891,-0.61973,-0.45237,0,2149.218758,1.806516669,-0.26041,-0.48141,-0.49589,-0.14901,0
4/1/2003,CZE,CZK,Czech Republic,56.57,28.9,1.957439446,-0.20429,-0.34336,-0.37744,-0.10346,0.63713,11014.14691,2.04553825,0.06932,-0.2502,-0.27114,0.23039,0.44583
4/1/2003,DNK,DKK,Denmark,27.75,6.78,4.092920354,0.66379,0.373,0.30174,0.87462,2.42317,22741.76112,2.361745312,0.93654,0.35789,0.31996,1.22824,1.61841
4/1/2003,EGY,EGP,Egypt,8,5.92,1.351351351,-0.45067,-0.54668,-0.57021,-0.38106,0.13022,1776.080025,1.796455876,-0.15942,-0.41059,-0.42705,-0.03281,0.13655
4/1/2003,EUZ,EUR,Euro area,2.71,0.909090909,2.981,0.21179,0,-0.05191,0.36534,1.4932,21777.8129,2.335754754,0.42614,0,-0.02793,0.64096,0.92829
4/1/2003,GBR,GBP,Britain,1.99,0.632911392,3.144200002,0.27813,0.05475,0,0.44009,1.62969,23968.16569,2.394812377,0.46712,0.02874,0,0.68811,0.9837
4/1/2003,HKG,HKD,Hong Kong,11.5,7.8,1.474358974,-0.40067,-0.50541,-0.53109,-0.32472,0.2331,41990.62539,2.880744889,-0.42809,-0.59898,-0.61018,-0.34195,-0.22672
4/1/2003,HUN,HUF,Hungary,490,224,2.1875,-0.11077,-0.26619,-0.30427,0.00191,0.82955,7579.192571,1.952922923,0.25167,-0.12234,-0.14685,0.44021,0.69239
4/1/2003,IDN,IDR,Indonesia,16100,8740,1.842105263,-0.25118,-0.38205,-0.41413,-0.15629,0.54067,1307.769304,1.783828997,0.15395,-0.19085,-0.21346,0.32777,0.56026
4/1/2003,JPN,JPY,Japan,262,120,2.183333333,-0.11247,-0.26758,-0.3056,0,0.82606,39265.1085,2.807257846,-0.13091,-0.3906,-0.40762,0,0.1751
