year,period,value_type,mean_temp_c,baseline_1961_1990,baseline_1991_2020
1898,July,Monthly,13.8,14.4,15.29
1898,August,Monthly,14.7,14.24,15.11
1898,September,Monthly,13.8,12.2,12.93
1898,October,Monthly,10.2,9.43,9.73
1898,November,Monthly,6,5.51,6.48
1898,December,Monthly,6.1,3.83,4.2
1898,Winter,Seasonal,4.39,3.27,4.08
1898,Spring,Seasonal,6.65,7.05,8.07
1898,Summer,Seasonal,13.65,13.78,14.59
1898,Autumn,Seasonal,9.98,9.05,9.71
1898,Annual,Annual,8.88,8.31,9.14
1899,January,Monthly,3.4,3.02,3.92
1899,February,Monthly,4,2.96,4.13
1899,March,Monthly,4.2,4.67,5.7
1899,April,Monthly,6.5,6.73,7.87
1899,May,Monthly,8.5,9.75,10.64
1899,June,Monthly,14,12.66,13.33
1899,July,Monthly,15.5,14.4,15.29
1899,August,Monthly,16.3,14.24,15.11
1899,September,Monthly,12,12.2,12.93
1899,October,Monthly,8.6,9.43,9.73
1899,November,Monthly,7.8,5.51,6.48
1899,December,Monthly,1.8,3.83,4.2
1899,Winter,Seasonal,4.52,3.27,4.08
1899,Spring,Seasonal,6.42,7.05,8.07
1899,Summer,Seasonal,15.29,13.78,14.59
1899,Autumn,Seasonal,9.43,9.05,9.71
1899,Annual,Annual,8.57,8.31,9.14
1900,January,Monthly,3.5,3.02,3.92
1900,February,Monthly,1.2,2.96,4.13
1900,March,Monthly,2.7,4.67,5.7
1900,April,Monthly,7.1,6.73,7.87
1900,May,Monthly,9.1,9.75,10.64
1900,June,Monthly,13.2,12.66,13.33
1900,July,Monthly,15.7,14.4,15.29
1900,August,Monthly,13.8,14.24,15.11
1900,September,Monthly,12.4,12.2,12.93
1900,October,Monthly,8.2,9.43,9.73
1900,November,Monthly,5.9,5.51,6.48
1900,December,Monthly,6.1,3.83,4.2
1900,Winter,Seasonal,2.19,3.27,4.08
1900,Spring,Seasonal,6.28,7.05,8.07
1900,Summer,Seasonal,14.26,13.78,14.59
1900,Autumn,Seasonal,8.83,9.05,9.71
1900,Annual,Annual,8.28,8.31,9.14
1901,January,Monthly,2.9,3.02,3.92
1901,February,Monthly,1.6,2.96,4.13
1901,March,Monthly,3.4,4.67,5.7
1901,April,Monthly,7.2,6.73,7.87
1901,May,Monthly,10.4,9.75,10.64
1901,June,Monthly,12.3,12.66,13.33
1901,July,Monthly,16.3,14.4,15.29
1901,August,Monthly,14.4,14.24,15.11
1901,September,Monthly,12.8,12.2,12.93
1901,October,Monthly,8.3,9.43,9.73
1901,November,Monthly,4.5,5.51,6.48
1901,December,Monthly,2.5,3.83,4.2
1901,Winter,Seasonal,3.56,3.27,4.08
1901,Spring,Seasonal,6.99,7.05,8.07
1901,Summer,Seasonal,14.37,13.78,14.59
1901,Autumn,Seasonal,8.51,9.05,9.71
1901,Annual,Annual,8.08,8.31,9.14
1902,January,Monthly,3.6,3.02,3.92
1902,February,Monthly,0.8,2.96,4.13
1902,March,Monthly,5.5,4.67,5.7
1902,April,Monthly,6.5,6.73,7.87
1902,May,Monthly,7.5,9.75,10.64
1902,June,Monthly,12.1,12.66,13.33
1902,July,Monthly,13,14.4,15.29
1902,August,Monthly,12.8,14.24,15.11
1902,September,Monthly,11.8,12.2,12.93
1902,October,Monthly,8.5,9.43,9.73
1902,November,Monthly,6.3,5.51,6.48
1902,December,Monthly,3.8,3.83,4.2
1902,Winter,Seasonal,2.34,3.27,4.08
1902,Spring,Seasonal,6.5,7.05,8.07
1902,Summer,Seasonal,12.65,13.78,14.59
1902,Autumn,Seasonal,8.85,9.05,9.71
1902,Annual,Annual,7.73,8.31,9.14
1903,January,Monthly,3,3.02,3.92
1903,February,Monthly,5.7,2.96,4.13
1903,March,Monthly,5.5,4.67,5.7
1903,April,Monthly,5.4,6.73,7.87
1903,May,Monthly,9.6,9.75,10.64
1903,June,Monthly,11.6,12.66,13.33
1903,July,Monthly,13.6,14.4,15.29
1903,August,Monthly,12.8,14.24,15.11
1903,September,Monthly,11.8,12.2,12.93
1903,October,Monthly,9.1,9.43,9.73
1903,November,Monthly,5.5,5.51,6.48
1903,December,Monthly,2.5,3.83,4.2
1903,Winter,Seasonal,4.13,3.27,4.08
1903,Spring,Seasonal,6.84,7.05,8.07
1903,Summer,Seasonal,12.68,13.78,14.59
1903,Autumn,Seasonal,8.79,9.05,9.71
1903,Annual,Annual,8.02,8.31,9.14
1904,January,Monthly,3.4,3.02,3.92
