Date,High (kg),Low (kg),Close (kg)
2020-09-05 0:00,63446.77,59448.02,61186.25
2020-08-06 0:00,66715.85,59957.61,62167.49
2020-07-07 0:00,66073.96,57035.26,65477.41
2020-06-07 0:00,57524.28,53947.83,57418.02
2020-05-08 0:00,56746.39,53725.51,54184.78
2020-04-08 0:00,56177.96,52839.59,55114.58
2020-03-09 0:00,54741.23,46692.69,53004.04
2020-02-08 0:00,54725.88,50222.52,54661.65
2020-01-09 0:00,51237.36,49390.14,50475.06
2019-12-10 0:00,51797.1,46946.52,50089.9
2019-11-10 0:00,47713.8,46482.91,46979.64
2019-10-11 0:00,48802.42,46827.72,46907.94
2019-09-11 0:00,49376.31,46915.66,48036.75
2019-08-12 0:00,50062.09,47594.12,47811.86
2019-07-13 0:00,48546.34,45022.62,48267.67
2019-06-13 0:00,46255.76,42840.63,45515.33
2019-05-14 0:00,43349.09,40823.25,42878.65
2019-04-14 0:00,41852.4,40720.69,41851.67
2019-03-15 0:00,42583.5,41187.44,41492.95
2019-02-13 0:00,43299.1,41203.91,41673.07
2019-01-14 0:00,42641.45,41052.32,42127.85
2018-12-15 0:00,41737.78,39735.11,41415.63
2018-11-15 0:00,40216.97,38847.99,39827.22
2018-10-16 0:00,39972.7,38467.81,38935.68
2018-09-16 0:00,39651.52,37978.55,39446.39
2018-08-17 0:00,39040.81,37681.88,38386.06
2018-07-18 0:00,39712.44,37318.42,37786.37
2018-06-18 0:00,41283.17,39427.43,39456.76
2018-05-19 0:00,42094.17,41009.72,41188.4
2018-04-19 0:00,43551.48,41335.41,41580.56
2018-03-20 0:00,43888.5,42030.83,43426.17
2018-02-18 0:00,43442.57,41892.58,42348.16
2018-01-19 0:00,43917.04,42032.12,43315.9
2017-12-20 0:00,43220.33,40558.65,42694.74
2017-11-20 0:00,41764.62,39765.73,40571.99
2017-10-21 0:00,41677.66,40664.43,41587.79
2017-09-21 0:00,42223.25,40544.66,41169.67
2017-08-22 0:00,43622.7,41162.04,41759.16
2017-07-23 0:00,41818.23,40002.36,41528.64
2017-06-23 0:00,40470.23,38757.24,40347.42
2017-05-24 0:00,41655.95,39917.56,40235.37
2017-04-24 0:00,41096.53,39057.37,40222.51
2017-03-25 0:00,41650.97,39864.03,40968.25
2017-02-23 0:00,40632.03,38423.44,39973.26
2017-01-24 0:00,40017.71,37969.39,39770.23
